Job Title,Job Salary,Job Experience Required,Skills,Role,Location
Assistant Manager," 6,00,000 - 8,00,000 PA. ",4,"Team Coordination, Process Management, Reporting, Operations Support",HR Manager,Pune
Business Analyst," 3,50,000 - 8,50,000 PA. ",1,"Requirement Gathering, Business Process Analysis, Stakeholder Communication, Data Analysis",Business Analyst,Gurgaon
Assistant Vice President," 4,00,000 - 9,00,000 PA. ",3,"Leadership, Strategy, Team Management, Business Development, Stakeholder Management",National Manager -Sales,Delhi
IT Recruiter," 1,25,000 - 3,50,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Noida
Business Development Manager," 5,00,000 - 7,00,000 PA. ",5,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Noida
Design Engineer," 1,25,000 - 2,00,000 PA. ",0,"AutoCAD, SolidWorks, Product Design, Mechanical Design, GD&T, 3D Modeling",Design Engineer,Bengaluru
Manager," 9,00,000 - 14,00,000 PA. ",7,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Business Development Manager,Ahmedabad
Executive," 4,00,000 - 5,00,000 PA. ",2,"Communication, Coordination, Data Entry, Reporting, Office Administration",Shipping-Executive,Mumbai
Art Director," 9,00,000 - 10,00,000 PA. ",7,"Creative Direction, Adobe Creative Suite, Branding, Visual Design, Team Management",Art Director / Senior Art Director,Gurgaon
Data Entry Operator," 90,000 - 1,25,000 PA. ",0,"Typing, MS Excel, Data Accuracy, Documentation, Record Keeping",Data Entry Operator,Delhi
Corporate Sales Manager," 3,00,000 - 6,00,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Institutional Sales / Business Development Manager,Mumbai
Assistant Manager," 2,75,000 - 4,00,000 PA. ",2,"Team Coordination, Process Management, Reporting, Operations Support",Events,Gurgaon
UI Developer," 14,00,000 - 24,00,000 PA. ",5,"HTML, CSS, JavaScript, React, UI/UX Design, Responsive Design",Software Developer,Pune
Manager," 4,50,000 - 5,50,000 PA. ",5,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Sales / Business Development Manager,Ahmedabad
Company Secretary," 6,00,000 - 10,00,000 PA. ",0,"Corporate Law, Compliance, Regulatory Filings, Board Meeting Documentation, ROC Filings",Company Secretary,Kolkata
Sales Engineer," 3,00,000 - 4,50,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales,Delhi
Automation Test Engineer," 5,00,000 - 8,00,000 PA. ",6,"Selenium, Test Automation, Python/Java, TestNG, Jenkins",Testing Engineer,Mumbai
Key Account Manager," 2,00,000 - 3,50,000 PA. ",1,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Key Account Manager,Pune
Executive Sales & Marketing," 2,00,000 - 4,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Pune
NRI Relationship Manager," 7,00,000 - 10,00,000 PA. ",4,"Client Relationship, Cross-Selling, Financial Advisory, Customer Retention, Sales",Business Development-Manager,Mumbai
Channel Sales Manager," 3,00,000 - 6,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Ahmedabad
Sales Executive," 50,000 - 60,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Delhi
Sales Manager," 2,50,000 - 4,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
Associate Professor," 3,00,000 - 7,00,000 PA. ",8,"Academic Leadership, Research, Teaching, Student Evaluation",Professor,Noida
Assistant Manager HR," 6,00,000 - 8,50,000 PA. ",7,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Manager,Pune
Business Development Manager," 3,00,000 - 7,00,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Noida
Receptionist," 1,00,000 - 2,50,000 PA. ",0,"Front Desk Management, Communication, Scheduling, Visitor Handling, MS Office",Receptionist,Mumbai
Graphic Designer," 3,00,000 - 5,00,000 PA. ",2,"Adobe Photoshop, Illustrator, CorelDRAW, Creativity, Typography, Branding",Graphic Designer,Bengaluru
Executive," 3,00,000 - 5,50,000 PA. ",2,"Communication, Coordination, Data Entry, Reporting, Office Administration",Sales Executive,Ahmedabad
Assistant Manager," 4,00,000 - 4,75,000 PA. ",4,"Team Coordination, Process Management, Reporting, Operations Support",Sales / Business Development Manager,Delhi
Executive," 1,00,000 - 2,00,000 PA. ",0,"Communication, Coordination, Data Entry, Reporting, Office Administration",Recruitment Executive,Faridabad
Sales Manager," 10,00,000 - 12,00,000 PA. ",9,"Communication, CRM, Negotiation, Lead Generation",Regional Sales Manager,Bengaluru
Accountant," 50,000 - 60,000 PA. ",2,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive / Accountant,Mumbai
Java Developer," 6,00,000 - 8,00,000 PA. ",3,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Bengaluru
IT Recruiter," 2,00,000 - 2,75,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Pune
Direct Sales," 1,50,000 - 2,25,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Kolkata
Senior Software Engineer," 8,00,000 - 18,00,000 PA. ",5,"Programming, Software Development, Debugging, SDLC",Software Developer,Noida
Business Head," 30,00,000 - 40,00,000 PA. ",10,"Strategic Planning, Business Development, Team Leadership, Budgeting, Stakeholder Management",Head,Chennai
Quality Analyst," 2,75,000 - 5,50,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Quality Assurance / Quality Control Manager,Delhi
Software Developer," 2,50,000 - 3,50,000 PA. ",1,"Software Design, Programming, Debugging, SDLC, Version Control",Software Developer,Delhi
Sales Engineer," 5,00,000 - 12,00,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Sales,Chennai
Recruitment Executive," 1,00,000 - 2,00,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Mumbai
Secretary," 6,50,000 - 7,00,000 PA. ",3,"Scheduling, Communication, Document Management, Meeting Coordination, Office Support",Secretary,Mumbai
Manager," 3,25,000 - 6,00,000 PA. ",3,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Project Manager-Production,Faridabad
Merchandiser," 3,00,000 - 3,50,000 PA. ",5,"Inventory Management, Vendor Coordination, Visual Merchandising, Sales Analysis, Forecasting",Merchandiser,Delhi
Looking For Manager," 5,00,000 - 8,00,000 PA. ",10,"Team Management, Project Coordination, Decision Making, Reporting",Legal Manager,Kolkata
Sales," 11,00,000 - 17,00,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Sales Officer,Bengaluru
Dot Net Developer," 3,00,000 - 8,00,000 PA. ",3,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Hyderabad
Graphic Designer," 2,00,000 - 3,00,000 PA. ",3,"Adobe Photoshop, Illustrator, CorelDRAW, Creativity, Typography, Branding",Graphic Designer,Hyderabad
HR Executive," 1,00,000 - 2,00,000 PA. ",0,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Noida
Business Development Manager," 2,50,000 - 7,00,000 PA. ",2,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
Head," 5,00,000 - 7,50,000 PA. ",3,"Strategic Planning, Team Leadership, Budgeting, Operations, Stakeholder Management",Head,Hyderabad
Big Data Engineer," INR 5,00,000 - 15,00,000 PA.",2,"Hadoop, Spark, Hive, Data Lakes, ETL, Scala/Java",Data Analyst,Noida
Technical Sales Executive," 1,50,000 - 6,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Senior Associate -(Technical),Delhi
Java J2Ee Developer," 3,00,000 - 8,00,000 PA. ",2,"Java, J2EE, Spring, Hibernate, REST APIs",Software Developer,Bengaluru
Senior Java Developer," 10,00,000 - 20,00,000 PA. ",4,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Bengaluru
Customer Service Associate," 3,00,000 - 3,50,000 PA. ",2,"Customer Interaction, CRM, Communication, Complaint Resolution, Problem Solving",Associate / Senior Associate -(NonTechnical),Bengaluru
Inside Sales Executive," 2,00,000 - 5,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Telesales / Telemarketing Executive,Bengaluru
Team Leader," 6,00,000 - 7,50,000 PA. ",6,"Team Management, Target Achievement, Coaching, Reporting, Communication",Team Leader-Quality Assurance,Noida
UI Developer," 7,00,000 - 17,00,000 PA. ",3,"HTML, CSS, JavaScript, React, UI/UX Design, Responsive Design",Software Developer,Mumbai
Duty Manager," 1,75,000 - 2,50,000 PA. ",4,"Shift Management, Staff Coordination, Customer Service, Incident Reporting",Duty Manager,Pune
Account Assistant," 1,50,000 - 2,00,000 PA. ",2,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive / Accountant,Delhi
Net Developer," 50,000 - 3,00,000 PA. ",3,"ASP.NET, C#, MVC, SQL Server, Visual Studio",Software Developer,Bengaluru
Sales Manager," 1,50,000 - 4,75,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Mumbai
Channel Sales Manager," 3,00,000 - 8,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales / BD Manager,Bengaluru
Digital Marketing Executive," 1,50,000 - 2,50,000 PA. ",0,"Digital Marketing, SEO, Content Creation, Campaign Management",Direct Marketing Executive,Chennai
PHP Developer," 3,00,000 - 5,00,000 PA. ",1,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Mumbai
Asst. Manager," 7,00,000 - 8,00,000 PA. ",6,"Team Coordination, Process Management, Reporting, Operations Support",Purchase / Vendor Development Manager,Mumbai
Web Developer," 2,00,000 - 4,50,000 PA. ",1,"HTML, CSS, JavaScript, PHP, React, Responsive Design",Software Developer,Chennai
Senior Software Engineer," 4,00,000 - 9,00,000 PA. ",4,"Programming, Software Development, Debugging, SDLC",Software Developer,Mumbai
Python Developer," 4,00,000 - 8,00,000 PA. ",2,"Python, Django, Flask, REST APIs, Pandas, SQL",Software Developer,Bengaluru
PHP Developer," 1,25,000 - 2,50,000 PA. ",0,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Noida
Manager," 10,00,000 - 12,00,000 PA. ",10,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",HR Manager,Delhi
Pre," 10,00,000 - 18,00,000 PA. ",5,"Presales, Proposal Writing, Solution Design, Client Interaction",Pre Sales Consultant,Delhi
Android Developer," 3,50,000 - 5,50,000 PA. ",1,"Android SDK, Java, Kotlin, Mobile App Development, Firebase",Software Developer,Mumbai
Java Developer," 2,00,000 - 7,00,000 PA. ",1,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Bengaluru
Technical Support Engineer For Accenture Through Artech," 2,00,000 - 2,25,000 PA. ",0,"Troubleshooting, Customer Service, Hardware Support, Software Support",Senior Associate -(NonTechnical),Delhi
Java Developer," 3,50,000 - 6,00,000 PA. ",3,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Mumbai
Medical Coding Jobs," 2,50,000 - 4,00,000 PA. ",0,"ICD-10, CPT, HCPCS, Medical Terminology, Billing, Healthcare Compliance",Medical Officer,Chennai
Director," 8,00,000 - 12,00,000 PA. ",9,"Leadership, Business Strategy, Governance, Budgeting, Executive Management",Director,Bengaluru
Wordpress Developer," 1,00,000 - 4,00,000 PA. ",0,"WordPress, PHP, Elementor, HTML, CSS, Plugin Development",Software Developer,Mumbai
Accountant," 1,25,000 - 3,00,000 PA. ",1,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accountant,Ahmedabad
Staff Nurse," 1,50,000 - 3,00,000 PA. ",1,"Patient Care, Vital Signs Monitoring, Emergency Response, Nursing Procedures",Nurse,Noida
Accounts Manager," 4,75,000 - 5,50,000 PA. ",10,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Delhi
Android Developer," 4,00,000 - 5,00,000 PA. ",2,"Android SDK, Java, Kotlin, Mobile App Development, Firebase",Software Developer,Bengaluru
Client Service Executive," 2,50,000 - 4,75,000 PA. ",1,"Customer Support, Account Management, CRM, Communication, Issue Resolution",Client Servicing Executive,Delhi
Sales Executive," 1,00,000 - 4,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Ahmedabad
Manager Accounts," 13,00,000 - 18,00,000 PA. ",7,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Delhi
Senior Business Development Executive," 3,00,000 - 8,00,000 PA. ",2,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales / Business Development Manager,Noida
Medical Coding Jobs," 2,25,000 - 4,00,000 PA. ",0,"ICD-10, CPT, HCPCS, Medical Terminology, Billing, Healthcare Compliance",Medical Officer,Chennai
Senior HR Executive," 7,00,000 - 10,00,000 PA. ",3,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Mumbai
Client Service Executive," 2,00,000 - 4,00,000 PA. ",2,"Customer Support, Account Management, CRM, Communication, Issue Resolution",Client Servicing,Bengaluru
General Manager Operations," 50,000 - 1,00,000 PA. ",5,"Strategic Operations, Process Improvement, Team Leadership, Budgeting",Operations Manager,Bengaluru
Asp.net Developer," 3,00,000 - 5,00,000 PA. ",3,"ASP.NET, C#, SQL Server, Web Development, MVC",Software Developer,Bengaluru
Senior Executive," 3,00,000 - 5,00,000 PA. ",4,"Team Support, Reporting, Client Handling, Communication, Coordination",Reservations Executive,Delhi
Business Development Manager," 5,00,000 - 5,50,000 PA. ",3,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Mumbai
Urgent," 12,00,000 - 22,00,000 PA. ",10,"General Office Support, Coordination, Communication, Admin Tasks",National Manager -Sales,Delhi
Sales Representative," 3,00,000 - 5,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales,Delhi
Accounts Manager," 4,00,000 - 8,00,000 PA. ",5,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Key Account Manager,Mumbai
Senior Associate," 18,00,000 - 22,50,000 PA. ",3,"Reporting, Documentation, Coordination, Client Interaction",GM-Taxation,Gurgaon
Senior Manager," 14,00,000 - 22,50,000 PA. ",5,"Strategic Leadership, Budgeting, Team Management, Performance Analysis, Stakeholder Management",Logistics Manager,Mumbai
HR Executive," 3,00,000 - 3,75,000 PA. ",2,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Delhi
Branch Head," 7,00,000 - 13,00,000 PA. ",5,"Branch Operations, Sales Strategy, Team Leadership, Customer Engagement",Branch Manager,Delhi
Executive," 4,00,000 - 6,00,000 PA. ",3,"Communication, Coordination, Data Entry, Reporting, Office Administration",Corporate Communication Executive,Mumbai
Asst Manager," 4,00,000 - 8,00,000 PA. ",5,"Team Coordination, Process Management, Reporting, Operations Support",Team Leader -(Technical),Pune
Commis Chef," 2,00,000 - 2,50,000 PA. ",4,"Food Preparation, Hygiene Standards, Kitchen Support, Recipe Execution",Commis,Delhi
Executive Assistant," 4,00,000 - 6,50,000 PA. ",3,"Scheduling, Calendar Management, Meeting Coordination, Communication, Travel Planning",Executive / Sr Executive - Administration,Mumbai
Medical Officer," 6,00,000 - 9,00,000 PA. ",2,"Patient Care, Medical Diagnosis, Treatment Planning, Medical Reporting",Medical Officer,Kolkata
Accounts Executive," 2,25,000 - 4,75,000 PA. ",0,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive / Accountant,Chandigarh
Deputy Manager," 4,00,000 - 7,00,000 PA. ",4,"Team Management, Strategic Planning, Performance Monitoring, Reporting, Process Improvement",Business Development Manager,Chennai
Full Stack .Net Developer," 7,50,000 - 15,00,000 PA. ",6,"ASP.NET, C#, JavaScript, SQL Server, MVC, Web API",Software Developer,Pune
Web Designer," 2,25,000 - 3,00,000 PA. ",2,"HTML, CSS, Adobe XD, Figma, UI/UX Design, Responsive Design",Web Designer,Delhi
Commercial Manager," 10,00,000 - 15,00,000 PA. ",9,"Contract Negotiation, Budgeting, Cost Control, Vendor Management, Business Strategy",Commercial Manager,Delhi
Company Secretary," 3,00,000 - 4,00,000 PA. ",2,"Corporate Law, Compliance, Regulatory Filings, Board Meeting Documentation, ROC Filings",Company Secretary,Chennai
Talent Acquisition Executive," INR 2,00,000 - 5,50,000 PA.",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Hyderabad
Senior Executive," 3,00,000 - 4,50,000 PA. ",2,"Team Support, Reporting, Client Handling, Communication, Coordination",Recruitment Executive,Delhi
Backend Developer," 9,00,000 - 11,00,000 PA. ",5,"Node.js, Express, SQL/NoSQL, API Development, Server Management",Software Developer,Hyderabad
Manager," 9,00,000 - 12,00,000 PA. ",6,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Operations Manager,Mumbai
Merchandiser," 4,00,000 - 4,50,000 PA. ",2,"Inventory Management, Vendor Coordination, Visual Merchandising, Sales Analysis, Forecasting",Merchandiser,Mumbai
Cost Accountant," 3,50,000 - 7,50,000 PA. ",3,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Cost Accountant,Mumbai
Business Development Executive," 1,25,000 - 2,50,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Bengaluru
Software Engineer," 5,00,000 - 10,00,000 PA. ",1,"Programming, Software Development, Debugging, SDLC",Software Developer,Noida
Recruitment Executive," 1,25,000 - 2,50,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Hyderabad
Tele Sales Executive," 1,50,000 - 4,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Telesales / Telemarketing Executive,Delhi
Business Analyst," 4,00,000 - 8,00,000 PA. ",3,"Requirement Gathering, Business Process Analysis, Stakeholder Communication, Data Analysis",Business Development Manager,Chandigarh
PHP Developer," 4,00,000 - 6,00,000 PA. ",2,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Bengaluru
IT Recruiter," 1,00,000 - 4,50,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Bengaluru
Accounts Manager," 5,00,000 - 7,00,000 PA. ",5,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Mumbai
Senior Sales Executive," 3,00,000 - 6,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Bengaluru
Assistant Manager Sales & Marketing," 4,00,000 - 6,00,000 PA. ",5,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Bengaluru
Dot Net Developer," 8,00,000 - 12,00,000 PA. ",3,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Mumbai
Regional Sales Manager," 22,50,000 - 27,50,000 PA. ",10,"Communication, CRM, Negotiation, Lead Generation",Regional Manager,Ahmedabad
Software Developer," 2,50,000 - 3,75,000 PA. ",2,"Software Design, Programming, Debugging, SDLC, Version Control",Software Developer,Pune
Web Designer," 1,00,000 - 3,50,000 PA. ",1,"HTML, CSS, Adobe XD, Figma, UI/UX Design, Responsive Design",Web Designer,Noida
Manager," 3,00,000 - 8,00,000 PA. ",0,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Area Sales Manager,Delhi
Engineering Manager," 4,00,000 - 9,00,000 PA. ",2,"Project Management, Team Leadership, Technical Strategy, Resource Planning",Project Manager-IT,Bengaluru
Delivery Manager," 18,00,000 - 22,50,000 PA. ",13,"Project Delivery, Client Communication, Agile, Timeline Management, Risk Management",Program Manager,Pune
Web Designer," 3,75,000 - 5,00,000 PA. ",3,"HTML, CSS, Adobe XD, Figma, UI/UX Design, Responsive Design",Web Designer,Kolkata
Area Sales Manager," 10,00,000 - 15,00,000 PA. ",4,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Chennai
Network Engineer," 2,00,000 - 5,00,000 PA. ",3,"Network Configuration, Cisco, LAN/WAN, Firewall, Troubleshooting",Customer Support Engineer,Mumbai
Sales Executive," 2,25,000 - 3,25,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Mumbai
Accountant," 2,50,000 PA. ",3,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accountant,Mumbai
Assistant Manager," 5,00,000 - 10,00,000 PA. ",5,"Team Coordination, Process Management, Reporting, Operations Support",Security Manager,Mumbai
SQL Developer," 2,25,000 - 6,00,000 PA. ",2,"SQL, Stored Procedures, Database Design, T-SQL, Performance Tuning",Software Developer,Delhi
Manager," 10,00,000 - 12,00,000 PA. ",3,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Manager,Pune
Sales Officer," 1,50,000 - 2,50,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive / Officer,Mumbai
Sales Associate," 2,50,000 - 5,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Chennai
Business Development Executive," 3,00,000 - 6,00,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Mumbai
Urgently Required Medical Officer," 2,50,000 - 3,00,000 PA. ",0,"Patient Examination, Diagnosis, Treatment, Emergency Care",Medical Officer,Bengaluru
Desktop Support Engineer L1," 50,000 - 1,50,000 PA. ",1,"Hardware Troubleshooting, Windows OS, Network Support, Technical Assistance",Customer Support Engineer,Mumbai
Business Development Executive," 2,50,000 - 3,75,000 PA. ",3,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
Trade Marketing Manager," 8,00,000 - 15,00,000 PA. ",7,"Digital Marketing, SEO, Content Creation, Campaign Management",Marketing Manager,Ahmedabad
Recruitment Executive," 1,00,000 - 2,50,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Chandigarh
Manager," 15,00,000 - 20,00,000 PA. ",12,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Project Manager-Production,Bengaluru
Relationship Manager," 2,00,000 - 4,25,000 PA. ",1,"Client Relationship, Cross-Selling, Financial Advisory, Customer Retention, Sales",Business Development-Manager,Bengaluru
Vacancy," 4,00,000 - 8,00,000 PA. ",4,"Office Support, Coordination, Documentation, Admin Duties",Taxation(Direct) Manager,Kolkata
PHP Developer," 4,00,000 - 8,00,000 PA. ",4,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Hyderabad
Manager," 10,00,000 - 13,00,000 PA. ",10,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Manager,Bengaluru
PHP Developer," 2,50,000 - 5,00,000 PA. ",2,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Noida
Unit Sales Manager," 2,50,000 - 4,75,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Chennai
Deputy Manager Accounts," 3,00,000 - 4,00,000 PA. ",3,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Kolkata
Manager," 3,00,000 - 4,00,000 PA. ",2,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",National Manager -Sales,Mumbai
Operations Manager," 7,50,000 - 9,50,000 PA. ",10,"Process Improvement, Team Leadership, Budget Management, Logistics, Vendor Management",General Manager,Pune
Sr. Manager," 25,00,000 - 30,00,000 PA. ",13,"Strategic Planning, Team Management, Project Oversight, Budgeting, KPI Monitoring",Training Manager,Gurgaon
Sales Manager," 5,00,000 - 6,00,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Bengaluru
Senior Customer Care Professional," 2,25,000 - 5,00,000 PA. ",1,"Customer Handling, Escalation Management, CRM, Communication",Senior Associate -(NonTechnical),Gurgaon
Salesforce Developer," 2,00,000 - 4,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Software Developer,Kolkata
Business Development Manager," 3,00,000 - 4,50,000 PA. ",4,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Analyst,Hyderabad
Telecalling Executive," 2,00,000 - 2,50,000 PA. ",0,"Outbound Calling, Communication, Sales Pitching, Lead Generation",Customer Service Executive,Bengaluru
IT Recruiter," 4,00,000 - 6,00,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Hyderabad
Full Stack Web Developer," 3,00,000 - 5,00,000 PA. ",2,"HTML, CSS, JavaScript, Node.js, React, MongoDB",Software Developer,Bengaluru
Project Manager," 12,00,000 - 16,00,000 PA. ",10,"Project Planning, Risk Management, Stakeholder Communication, Agile, Budgeting",Project Manager-Production,Hyderabad
